# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model
# start_datetime = 2022-12-26 19:45:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/andrew/Library/R/arm64/4.2/library/CmdStanHeaders/examples/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1461824762 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = --O0
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.12279
# Diagonal elements of inverse mass matrix:
# 0.459917
-6.74854,0.987922,1.12279,2,3,0,6.88302,0.254031
-6.79664,0.98661,1.12279,1,3,0,6.80568,0.212437
-7.49705,0.867226,1.12279,1,3,0,7.54036,0.120971
-7.73361,0.959245,1.12279,1,1,0,7.84227,0.106428
-8.26429,0.923262,1.12279,1,1,0,8.34188,0.0823309
-6.77719,0.938136,1.12279,1,3,0,8.12747,0.220648
-7.43647,0.748214,1.12279,2,3,0,8.38824,0.125266
-7.23985,1,1.12279,1,1,0,7.47114,0.141466
-7.03402,1,1.12279,2,3,0,7.22817,0.164238
-8.88715,0.653109,1.12279,1,3,0,9.41245,0.543533
-6.85393,1,1.12279,1,1,0,8.06109,0.31024
-7.344,0.825328,1.12279,1,1,0,7.35824,0.399693
-6.75389,0.58471,1.12279,2,3,0,9.1322,0.236624
-6.75389,0.476019,1.12279,1,3,0,8.6815,0.236624
-6.76833,0.99836,1.12279,2,3,0,6.76877,0.225387
-6.74807,0.996029,1.12279,2,3,0,6.7899,0.251204
-6.77104,0.987595,1.12279,2,3,0,6.80302,0.277437
-6.77104,0.619328,1.12279,1,3,0,8.50496,0.277437
-6.74803,1,1.12279,1,3,0,6.76549,0.249511
-6.75955,0.996935,1.12279,1,3,0,6.76059,0.231344
-6.8729,0.960472,1.12279,2,3,0,6.9944,0.191251
-7.1813,0.969595,1.12279,2,3,0,7.25622,0.376365
-6.83038,1,1.12279,1,1,0,7.05697,0.30286
-6.77129,1,1.12279,1,1,0,6.81254,0.277588
-6.81942,0.848198,1.12279,2,3,0,7.32796,0.299092
-6.81942,0.725537,1.12279,2,3,0,7.85877,0.299092
-6.74802,0.975031,1.12279,2,3,0,6.91595,0.250017
-6.79385,0.976266,1.12279,2,3,0,6.85813,0.213488
-6.78871,0.978793,1.12279,2,3,0,6.92339,0.215519
-6.94869,0.956087,1.12279,1,3,0,7.03143,0.334145
-6.94869,0.829471,1.12279,1,1,0,7.27259,0.334145
-6.96682,0.992989,1.12279,1,1,0,7.03874,0.33806
-6.756,0.940497,1.12279,2,3,0,7.20472,0.234436
-6.756,0.783952,1.12279,1,3,0,7.41671,0.234436
-6.86553,0.969782,1.12279,1,3,0,6.8931,0.313589
-7.00901,0.946485,1.12279,1,1,0,7.03905,0.346632
-6.98464,0.82924,1.12279,2,3,0,7.71069,0.171217
-7.30604,0.928883,1.12279,1,1,0,7.31897,0.135564
-6.85078,1,1.12279,1,3,0,7.19315,0.196377
-7.22586,0.946974,1.12279,2,3,0,7.39636,0.383108
-7.26766,0.982917,1.12279,1,1,0,7.449,0.389172
-6.83724,1,1.12279,1,1,0,7.11157,0.305103
-6.77333,0.936115,1.12279,2,3,0,7.1114,0.222603
-9.36015,0.517645,1.12279,1,3,0,9.51387,0.574937
-14.7183,0.133426,1.12279,1,1,0,15.353,0.789109
-10.1267,0.979108,1.12279,2,3,0,13.9945,0.61917
-7.44728,1,1.12279,1,1,0,9.1488,0.412973
-6.86552,1,1.12279,1,1,0,7.23315,0.313588
-6.78721,0.950697,1.12279,2,3,0,7.09081,0.216142
-6.90845,0.966323,1.12279,1,1,0,6.90915,0.184014
-7.15174,0.847694,1.12279,2,3,0,8.22327,0.150244
-6.74827,0.947324,1.12279,2,3,0,7.40516,0.247229
-7.28389,0.862595,1.12279,1,3,0,7.31188,0.391465
